date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:18	391586/391586	---M--	200	added ('OK')	application/pdf	etag:%225f9a2-4f74321b19bc0%22	http://www.model-based-enterprise.org/Docs/MBESummit_0526_JDMTPpresenation.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBESummit_0526_JDMTPpresenation.pdf	(from http://www.model-based-enterprise.org/model-based-enterprise-presentations.html)
16:41:54	2494864/2494864	---M--	200	added ('OK')	application/pdf	etag:%22261190-4f74333933ec0%22	http://www.model-based-enterprise.org/Docs/NCPM_supplier_summit.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/NCPM_supplier_summit.pdf	(from http://www.model-based-enterprise.org/model-based-enterprise-presentations.html)
16:43:35	1712949/1712949	---M--	200	added ('OK')	application/pdf	etag:%221a2335-4f74323014d40%22	http://www.model-based-enterprise.org/Docs/MBESummit_0526_ARLpresentation.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBESummit_0526_ARLpresentation.pdf	(from http://www.model-based-enterprise.org/model-based-enterprise-presentations.html)
16:44:56	2421725/2421725	---M--	200	added ('OK')	application/pdf	etag:%2224f3dd-4f743246f8340%22	http://www.model-based-enterprise.org/Docs/MBESummit_0526_DODKeynote.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBESummit_0526_DODKeynote.pdf	(from http://www.model-based-enterprise.org/model-based-enterprise-presentations.html)
16:46:05	1061979/1061979	---M--	200	added ('OK')	application/pdf	etag:%2210345b-4f7431ca09c80%22	http://www.model-based-enterprise.org/Docs/MBE_Summit_Presentation.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBE_Summit_Presentation.pdf	(from http://www.model-based-enterprise.org/model-based-enterprise-presentations.html)
16:49:52	1211570/1211570	---M--	200	added ('OK')	application/pdf	etag:%22127cb2-4f742f0c22480%22	http://www.model-based-enterprise.org/Docs/2009DMCGeeWhiz-MBESlides.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/2009DMCGeeWhiz-MBESlides.pdf	(from http://www.model-based-enterprise.org/model-based-enterprise-presentations.html)
16:50:24	182689/182689	---M--	200	added ('OK')	application/pdf	etag:%222c9a1-4f74330890c00%22	http://www.model-based-enterprise.org/Docs/OSD_Ratcliff_Presentation.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/OSD_Ratcliff_Presentation.pdf	(from http://www.model-based-enterprise.org/model-based-enterprise-presentations.html)
16:50:31	21103/21103	---M--	200	added ('OK')	image/jpeg	etag:%22526f-4f71686473f40%22	http://www.model-based-enterprise.org/images/MBE-video.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/MBE-video.jpg	(from http://www.model-based-enterprise.org/mbe-videos-3d-models.html)
16:50:46	83627/83627	---M--	200	added ('OK')	image/jpeg	etag:%22146ab-4f71686197880%22	http://www.model-based-enterprise.org/images/MBE-articles.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/MBE-articles.jpg	(from http://www.model-based-enterprise.org/mbe-articles.html)
16:52:39	1083137/1083137	---M--	200	added ('OK')	application/pdf	etag:%22108701-4f7432fe13340%22	http://www.model-based-enterprise.org/Docs/MTO-MBE-DMC-1.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MTO-MBE-DMC-1.pdf	(from http://www.model-based-enterprise.org/model-based-enterprise-presentations.html)
16:53:46	409728/409728	---M--	200	added ('OK')	application/pdf	etag:%2264080-4f84642dcac00%22	http://www.model-based-enterprise.org/Docs/MBE%20Research%20Paper%20Published%20in%20JCM.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBE%20Research%20Paper%20Published%20in%20JCM.pdf	(from http://www.model-based-enterprise.org/mbe-articles.html)
16:53:49	1141947/1141947	---M--	200	added ('OK')	application/pdf	etag:%22116cbb-4f743276a73c0%22	http://www.model-based-enterprise.org/Docs/MIL-STD-31000a-Oct8,2013.pdf?ArticleID=2005	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MIL-STD-31000a-Oct8,20137958.pdf	(from http://www.model-based-enterprise.org/mbe-articles.html)
16:54:36	98490/98490	---M--	200	added ('OK')	application/pdf	etag:%22180ba-4f7434f3b52c0%22	http://www.model-based-enterprise.org/Docs/USCS-Mentor-Protege-Article.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/USCS-Mentor-Protege-Article.pdf	(from http://www.model-based-enterprise.org/mbe-articles.html)
16:54:38	256/256	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jun%202016%2008:54:37%20GMT	http://www.model-based-enterprise.org/Docs/DMC-Highlights-DoD-Mentor-Prot%c3%83%c2%a9g%c3%83%c2%a9-Agreement.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/DMC-Highlights-DoD-Mentor-Prot%c3%83%c2%a9g%c3%83%c2%a9-Agreement.118.delayed	(from http://www.model-based-enterprise.org/mbe-articles.html)
16:54:50	37779/37779	---M--	200	added ('OK')	image/jpeg	etag:%229393-4f6c599f800c0%22	http://www.model-based-enterprise.org/images/Nunn-Perry-Award.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/Nunn-Perry-Award.jpg	(from http://www.model-based-enterprise.org/mbe-success-stories.html)
16:54:53	14805/14805	---M--	200	added ('OK')	image/jpeg	etag:%2239d5-4f7168637fd00%22	http://www.model-based-enterprise.org/images/MBE-lessons.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/MBE-lessons.jpg	(from http://www.model-based-enterprise.org/mbe-lessons-learned.html)
16:54:54	237/237	---M--	403	error ('Forbidden')	text/html	date:Mon,%2020%20Jun%202016%2008:54:54%20GMT	http://www.model-based-enterprise.org/cfg-contactform-2/js/contactform.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/cfg-contactform-2/js/contactform.js	(from http://www.model-based-enterprise.org/content-submission.html)
16:54:55	239/239	---M--	403	error ('Forbidden')	text/html	date:Mon,%2020%20Jun%202016%2008:54:54%20GMT	http://www.model-based-enterprise.org/cfg-contactform-2/css/contactform.css	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/cfg-contactform-2/css/contactform.css	(from http://www.model-based-enterprise.org/content-submission.html)
16:54:56	245/245	---M--	403	error ('Forbidden')	text/html	date:Mon,%2020%20Jun%202016%2008:54:56%20GMT	http://www.model-based-enterprise.org/cfg-contactform-2/js/swfupload/swfupload.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/cfg-contactform-2/js/swfupload/swfupload.js	(from http://www.model-based-enterprise.org/content-submission.html)
16:54:59	251/251	---M--	403	error ('Forbidden')	text/html	date:Mon,%2020%20Jun%202016%2008:54:59%20GMT	http://www.model-based-enterprise.org/cfg-contactform-2/js/swfupload/swfupload.queue.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/cfg-contactform-2/js/swfupload/swfupload.queue.js	(from http://www.model-based-enterprise.org/content-submission.html)
16:55:02	248/248	---M--	403	error ('Forbidden')	text/html	date:Mon,%2020%20Jun%202016%2008:55:01%20GMT	http://www.model-based-enterprise.org/cfg-contactform-2/js/swfupload/fileprogress.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/cfg-contactform-2/js/swfupload/fileprogress.js	(from http://www.model-based-enterprise.org/content-submission.html)
16:55:03	244/244	---M--	403	error ('Forbidden')	text/html	date:Mon,%2020%20Jun%202016%2008:55:03%20GMT	http://www.model-based-enterprise.org/cfg-contactform-2/js/swfupload/handlers.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/cfg-contactform-2/js/swfupload/handlers.js	(from http://www.model-based-enterprise.org/content-submission.html)
16:55:04	232/232	---M--	403	error ('Forbidden')	text/html	date:Mon,%2020%20Jun%202016%2008:55:04%20GMT	http://www.model-based-enterprise.org/cfg-contactform-2/js/upload.js	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/cfg-contactform-2/js/upload.js	(from http://www.model-based-enterprise.org/content-submission.html)
16:55:06	244/244	---M--	403	error ('Forbidden')	text/html	date:Mon,%2020%20Jun%202016%2008:55:05%20GMT	http://www.model-based-enterprise.org/cfg-contactform-2/js/swfupload/default.css	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/cfg-contactform-2/js/swfupload/default.css	(from http://www.model-based-enterprise.org/content-submission.html)
16:55:48	435177/435177	---M--	200	added ('OK')	application/pdf	etag:%226a3e9-4f7434eef0780%22	http://www.model-based-enterprise.org/Docs/US-Combat-Systems-USCS-Advanced-Manufacturing-Engineering-Teams-with-Small-Business-Office.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/US-Combat-Systems-USCS-Advanced-Manufacturing-Engineering-Teams-with-Small-Business-Office.pdf	(from http://www.model-based-enterprise.org/mbe-articles.html)
16:56:19	18634/18634	---M--	200	added ('OK')	image/jpeg	etag:%2248ca-4f6c58fd60240%22	http://www.model-based-enterprise.org/images/assessment-ranking-tool.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/assessment-ranking-tool.jpg	(from http://www.model-based-enterprise.org/mbe-assessment-tool.html)
16:56:30	35733/35733	---M--	200	added ('OK')	application/pdf	etag:%228b95-4f743179edf80%22	http://www.model-based-enterprise.org/Docs/MBE_Levels_Table_MTO.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBE_Levels_Table_MTO.pdf	(from http://www.model-based-enterprise.org/mbe-assessment-tool.html)
16:57:06	166574/166574	---M--	200	added ('OK')	image/jpeg	etag:%2228aae-4f6c590d96880%22	http://www.model-based-enterprise.org/images/capabilities-chart.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/capabilities-chart.jpg	(from http://www.model-based-enterprise.org/mbe-assessment-tool.html)
16:57:26	109230/109230	---M--	200	added ('OK')	image/jpeg	etag:%221aaae-4f6c594c87d00%22	http://www.model-based-enterprise.org/images/Level-6.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/Level-6.jpg	(from http://www.model-based-enterprise.org/capability-level-6.html)
16:57:41	97227/97227	---M--	200	added ('OK')	application/pdf	etag:%2217bcb-4f74314ff7c80%22	http://www.model-based-enterprise.org/Docs/MBE-Level6.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBE-Level6.pdf	(from http://www.model-based-enterprise.org/capability-level-6.html)
16:57:51	122717/122717	---M--	200	added ('OK')	image/jpeg	etag:%221df5d-4f6c594c87d00%22	http://www.model-based-enterprise.org/images/Level-5.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/Level-5.jpg	(from http://www.model-based-enterprise.org/capability-level-5.html)
16:58:09	109158/109158	---M--	200	added ('OK')	application/pdf	etag:%221aa66-4f74314c27380%22	http://www.model-based-enterprise.org/Docs/MBE-Level5.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBE-Level5.pdf	(from http://www.model-based-enterprise.org/capability-level-5.html)
16:58:11	123979/123979	---M--	200	added ('OK')	image/jpeg	etag:%221e44b-4f6c594b93ac0%22	http://www.model-based-enterprise.org/images/Level-4.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/Level-4.jpg	(from http://www.model-based-enterprise.org/capability-level-4.html)
16:58:25	97792/97792	---M--	200	added ('OK')	application/pdf	etag:%2217e00-4f7431457a3c0%22	http://www.model-based-enterprise.org/Docs/MBE-Level4.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBE-Level4.pdf	(from http://www.model-based-enterprise.org/capability-level-4.html)
